code,name,category,family_test,key_properties,complexity_summary,sali_iri
C11,Public sector frameworks,Customers,"An awarded framework that is not itself a contract to supply; each authority's call-off is. Authorities fan out under the framework like LPAs under a master. Lots and call-offs are UK-flavoured terminology; the structure travels across jurisdictions even where the names do not, so jurisdiction is a property, and OCDS is available as an optional adapter.",jurisdiction: ISO 3166 | lot structure: yes or no | call-off basis: direct award or mini-competition,The framework alone creates no supply obligation; agents must not treat it as a governing master for orders that lack a call-off. Each calling-off authority is a distinct legal entity with its own party edges into master data.,pending mapping
C12,E-commerce accounts,Customers,"A registered web account governed by webshop terms, standard or negotiated; users attach to the account and orders attach through it. Distinct from EDI, API and PunchOut, which are channels usually documented as a schedule inside another family (overlay O5) because an underlying contract is typically negotiated. Agent-based ordering is a reserved future channel type.","terms: standard or negotiated | users: person nodes with user-of edges | channel overlays: O5 where EDI, API or PunchOut added","Click-accept is the execution event; capture date and version matter more than signature. Thousands of accounts share one terms node, the same many-to-one shape as C4.",pending mapping
C13,Programmes and pricing letters,Customers,"Annual or project-specific commercial letters that vary pricing under whatever else governs: rebates, growth incentives, special pricing letters. Re-issue supersedes; project letters are time-limited. They attach to the relationship and reference the governing master or price list where one exists.",cycle: annual re-issue or project | time-limited: usually yes | varies: master or price list,"Annual re-issue makes the supersedes chain the family's backbone; the current letter is a point-in-time query, not a folder. SPA collides with the supplier-side S9 sense and with Sale and Purchase Agreement; the alias registry disambiguates by category.",pending mapping
S1,Authorised distribution and channel programmes,Suppliers,"Appointment is yes: the agreement confers channel status and generates programme children such as price protection, stock rotation, ship-and-debit and SPA eligibility, often through annual programme terms that re-issue each year and instruments that bind by notice rather than signature. The absence of those children is what sends a document to S2 instead.","appointment: yes | update mechanism: by notice for lists, signature for the master | node status: notified where bound by notice","Instruments that bind by notice are still nodes, with status notified rather than signed. Annual programme terms re-issue wholesale; the supersedes chain carries the years. End-user terms flow down into C10, the family's signature cross-category edge.",pending mapping
S2,"Master supply or purchase, no appointment",Suppliers,"Buy-side relationship terms without channel status. Structurally a mirror of C2. The defining feature is the absence of programme children: no price protection, no stock rotation, no ship-and-debit eligibility.",appointment: no | commercial completeness: usually no,"The classifier's test against S1 is appointment plus programme children, never the title on the cover.",pending mapping
S3,Framework purchase with releases,Suppliers,"Buy-side framework with a versioned commercial layer; blanket POs or scheduling agreements sit between framework and delivery, drawn down by releases. Forecasts hover at the edge of bindingness and are recorded as evidence with a commitment band, not as orders.",commercial completeness: yes | forecast: binding band property | commitment: volume,Forecast versus commitment is the family's recurring dispute; the binding band lives as a property on the forecast evidence node.,pending mapping
S4,"Software and cloud partner programmes, for resale",Suppliers,"Click-through partner stacks for products we resell. Nearly everything incorporated by URL and updated quarterly; the portal acceptance is the execution event. Strictly for resale: anything consumed internally is V1 or V2, never this family.","paper: theirs, click-through | update cadence: quarterly typical | execution event: portal acceptance | purpose: resale only",Version capture on every incorporates edge is the whole game; the terms you accepted are not the terms on the website today. Portal orders resold onward create back-to-back edges into customer families.,pending mapping
S5,Commercial agency,Suppliers,"Agency proper: we act as agent, title never passes, and statutory regimes bite, notably the EU Commercial Agents Directive and Middle East agency protections with their termination compensation and registration rules. Kept apart from S6 because the statutory regime changes the risk profile of the whole family.","statutory regime: EU CAD, Middle East agency law, other, none | title: never passes | registration: jurisdiction dependent",Termination is the event that matters; compensation and indemnity claims arise by statute regardless of the drafting.,pending mapping
S6,Commission and introducer agreements,Suppliers,"A fee for winning or introducing business, one-off or ongoing, often bringing local knowledge or project expertise. No statutory agency regime, which is exactly why it is split from S5. Claims reference the project or customer that earned them, another quiet cross-category edge.",regime: none | duration: one-off or ongoing | anti-bribery diligence: flag,"The compliance risk is ABC-shaped, not agency-shaped; diligence evidence attaches through S12-style evidence nodes.",pending mapping
S7,Manufacturing and private label,Suppliers,They make to our specification or under our brand. Specifications sit under change control and version faster than the master; the quality agreement is owned by a different function; tooling has its own title and lifecycle; a brand licence rides along where private label applies.,spec control: change control process | tooling title: ours or theirs | brand licence: yes where private label,"Three sub-documents with three different owners (commercial, quality, brand) under one master; ownership is a property worth recording.",pending mapping
S8,Terms of purchase and supplier account forms,Suppliers,"Mirror of C4 on the buy side. Our terms of purchase govern by default; the supplier's account form or acknowledgement tries to bind us into theirs, and the conflict is recorded per order with a last-shot property, never assumed at relationship level.",last shot: per order | rival anchor present: yes or no,"Their quote often fires first and our PO answers it, reversing the C4 sequence; direction of the responds-to edge captures which.",pending mapping
S9,Special pricing and programme claims,Suppliers,"High-volume, short-lived commercial instruments tied to a specific customer, project or product: SPAs, deviated pricing, ship-and-debit, price protection, stock rotation, MDF and co-op, rebates. Each links to the supplier relationship and to the specific customer relationship it serves, which makes this the first family whose edges routinely cross categories. DPA here means deviated pricing agreement, a collision with data processing that the alias registry disambiguates.",time-limited: yes | linked customer: relationship reference mandatory | claim settlement: credit or debit memo,"Volume is the challenge: thousands of short-lived nodes; the cross edges to customer relationships are the analytical payoff. Every claim is a transaction node claimed under its instrument, which is what makes margin-recovery questions walkable.",pending mapping
S10,"Services for resale, back-to-back",Suppliers,"Subcontracted services we resell. Supplier SOWs mirror customer SOWs, and the mismatches between them (warranty period, liability cap, response times) are recorded as gap edges. The mirror and gap edges into C6 are the family's purpose.",mirror target: C6 SOW reference | gap register: per-term gap edges,Each material term mismatch is one gap edge with the delta as a property; the set of gap edges is the risk register.,pending mapping
S11,Supplier consignment and drop-ship,Suppliers,"Their stock in our warehouse with title passing on our draw, or their delivery direct to our customer. The physical flow bypasses us in drop-ship while the contract flow does not, and the graph must keep the two apart.",title: theirs until draw | physical flow: through us or direct | settlement: on consumption,Drop-ship creates delivery edges to customer sites while invoicing edges stay with us; conflating the two flows is the classic modelling error.,pending mapping
S12,Quality and compliance evidence,Suppliers,"Mostly evidence with validity periods rather than contracts: quality agreements aside, this is declarations of conformity, REACH, RoHS and conflict minerals declarations, certificates of conformity per batch, insurance certificates. Evidence attaches to products as well as to the relationship and feeds importer and distributor obligations under product regulation.",validity window: mandatory | attaches to: relationship and product | regulatory driver: importer or distributor obligations,Batch-level certificates attach to product nodes and even lots; expiry queries are the operational use case.,pending mapping
V1,SaaS subscriptions,Vendors,Own-consumption cloud software. The operative commercial instrument is the order form; the master sits above it by URL reference and can change; the negotiated security addendum prevails over the URL terms. Renewal order forms supersede their predecessors.,"master: by URL, mutable, capture dates mandatory | operative instrument: order form | precedence: signed addendum over URL terms",Every URL incorporation carries version and capture date; the subprocessor list changes on notice and needs its own capture trail.,pending mapping
V2,Enterprise licence and support,Vendors,"Perpetual or term licences with annual support renewals forming a chain of new instruments, plus audit and true-up letters that amend the licensed position.",renewals: new instruments in a chain | true-ups: amendments | audit rights: flag,"Renewals are instruments, not status flips; the chain answers what was supported when.",pending mapping
V3,IT services and outsourcing,Vendors,"Long-term managed services: master, many SOWs with independent lifecycles, service levels, exit plan, formal change control producing change notes.",exit plan: component with its own review cycle | SOW precedence: per SOW,Exit is the family's tail risk; the exit plan node and its currency deserve monitoring edges.,pending mapping
V4,Telecoms and connectivity,Vendors,"A master with hundreds of small service orders per site or circuit, each with its own minimum term and auto-renewal. The population of orders, not the master, is where the money and the notice deadlines live.",auto-renew: per order | minimum term: per order | notice window: per order,Renewal-notice queries run across the order population; the master is almost never the answer.,pending mapping
V5,Professional advisers,Vendors,"Panel terms or outside counsel guidelines on our paper prevailing over the adviser's terms of business, with an engagement letter per matter and fee letters varying it. The adviser's own terms are incorporated and periodically updated.",precedence: our guidelines over their ToB | granularity: one engagement per matter,"Matter-level engagement letters map one-to-one onto matters in practice management, a natural join to a different master data set.",pending mapping
V6,"Recruitment, staffing and contractors",Vendors,"Agency terms of business with assignment schedules, consultancy agreements with SOWs, employer of record arrangements with country addenda. Introduction fees and off-payroll status are the recurring properties. Employment contracts are out of scope, a people category to decide separately.",introduction fee: window and amount | off-payroll: status per engagement,"Assignment schedules carry person references, joining contract data to people data with the obvious privacy overlay.",pending mapping
V7,Property,Vendors,"Agreement for lease into lease, then a long life of deeds and consents: rent deposit deed, licences to alter, assign or sublet, deeds of variation, personal side letters, rent review memoranda, break notices, subleases. Deeds, statutory overlay and decade-scale lifecycles make this the slowest family in the graph.","instrument form: deed | side letters: personal, non-transferable flag | statutory overlay: jurisdiction",Personal side letters do not bind successors; the personal flag changes what a due diligence walk may rely on.,pending mapping
V8,Facilities and equipment,Vendors,"Master hire or lease with equipment schedules per asset, acceptance certificates, extensions and returns, plus FM contracts with site schedules and SLAs. The master-plus-schedules shape is the C1 pattern wearing overalls.",per-asset schedules: one node per asset | acceptance: evidence gate for payment,"Asset schedules join to fixed-asset registers, another master data set outside this spine but linkable by the same discipline.",pending mapping
V9,Logistics and fleet,Vendors,"Logistics services agreements with versioned rate cards, lane and site schedules, KPI schedules and annual rate letters; carrier agreements incorporating standard carrier conditions with their own liability limits; customs brokerage; fleet master leases. Borderline by design: the cost is recharged to customers but the service is consumed by us, so vendor.",incorporated conditions: liability limits recorded | rate cycle: annual,Incorporated carrier conditions cap liability far below cargo value; the limit belongs on the incorporates edge where an agent will trip over it.,pending mapping
V10,"Banking, finance and insurance",Vendors,"Facility agreements with security documents cutting across group entities, compliance certificates, amendments and waivers; insurance policies with schedules, endorsements and renewals; credit insurance whose buyer limits point at customer master data, a deliberate cross-category edge. Lumped as one family for now; splitting finance from insurance is a known candidate refinement.",security scope: entities charged | buyer limits: per customer account | covenant evidence: certificate cycle,"Security documents bind entities that never trade with the counterparty; the party edges are the point. Credit insurance buyer limits are vendor-category nodes pointing at customer accounts, the graph's most useful cross-category edge for credit control.",pending mapping
V11,Indirect goods and services,Vendors,"The long tail: terms of purchase, PO, invoice, mostly auto-renewing, individually small and collectively noisy. Marketing agencies, sponsorships, memberships, data subscriptions, travel, utilities. Low modelling depth by design: invariant edges, dates and renewal flags.",modelling depth: minimal | renewal: auto flags and dates,The catch-all discipline matters most here: function tags and invariant edges even where family confidence is low.,pending mapping
C0,Unclassified customer document,Customers,"Catch-all. The document is on the customer side of the house but its structure does not match any family test, or the evidence is too thin to decide. It still gets a function tag from the closed list (governs, transacts, changes, secures, evidences, resolves, enables_channel, pre_contract), attaches to its relationship with status provisional and a confidence score, and enters the human review queue.","function_tag: governs, transacts, changes, secures, evidences, resolves, enables_channel or pre_contract | status: provisional | confidence: 0.00 to 1.00","Reviewer outcomes feed the alias dictionary; recurring clusters become new-family proposals; the metric is unclassified rate per category, trending down.",pending mapping
S0,Unclassified supplier document,Suppliers,"Catch-all. The document is on the supplier side of the house but its structure does not match any family test, or the evidence is too thin to decide. It still gets a function tag from the closed list (governs, transacts, changes, secures, evidences, resolves, enables_channel, pre_contract), attaches to its relationship with status provisional and a confidence score, and enters the human review queue.","function_tag: governs, transacts, changes, secures, evidences, resolves, enables_channel or pre_contract | status: provisional | confidence: 0.00 to 1.00","Reviewer outcomes feed the alias dictionary; recurring clusters become new-family proposals; the metric is unclassified rate per category, trending down.",pending mapping
V0,Unclassified vendor document,Vendors,"Catch-all. The document is on the vendor side of the house but its structure does not match any family test, or the evidence is too thin to decide. It still gets a function tag from the closed list (governs, transacts, changes, secures, evidences, resolves, enables_channel, pre_contract), attaches to its relationship with status provisional and a confidence score, and enters the human review queue.","function_tag: governs, transacts, changes, secures, evidences, resolves, enables_channel or pre_contract | status: provisional | confidence: 0.00 to 1.00","Reviewer outcomes feed the alias dictionary; recurring clusters become new-family proposals; the metric is unclassified rate per category, trending down.",pending mapping
